precision,recall
1.0,0.0
1.0,0.002
1.0,0.004
1.0,0.006
1.0,0.008
1.0,0.01
1.0,0.012
1.0,0.014
1.0,0.016
1.0,0.018000000000000002
1.0,0.02
1.0,0.022
1.0,0.024
1.0,0.026000000000000002
1.0,0.028
1.0,0.03
1.0,0.032
1.0,0.034
1.0,0.036000000000000004
1.0,0.038
1.0,0.04
1.0,0.042
1.0,0.044
1.0,0.046
1.0,0.048
1.0,0.05
1.0,0.052000000000000005
1.0,0.054
1.0,0.056
1.0,0.058
1.0,0.06
1.0,0.062
1.0,0.064
1.0,0.066
1.0,0.068
1.0,0.07
1.0,0.07200000000000001
1.0,0.074
1.0,0.076
1.0,0.078
1.0,0.08
1.0,0.082
1.0,0.084
1.0,0.08600000000000001
1.0,0.088
1.0,0.09
1.0,0.092
1.0,0.094
1.0,0.096
1.0,0.098
1.0,0.1
1.0,0.10200000000000001
1.0,0.10400000000000001
1.0,0.106
1.0,0.108
1.0,0.11
1.0,0.112
1.0,0.114
1.0,0.116
1.0,0.11800000000000001
1.0,0.12
1.0,0.122
1.0,0.124
0.8,0.126
0.8,0.128
0.8,0.13
0.8,0.132
0.8,0.134
0.8,0.136
0.8,0.138
0.8,0.14
0.8,0.14200000000000002
0.8,0.14400000000000002
0.8,0.146
0.8,0.148
0.8,0.15
0.8,0.152
0.8,0.154
0.8,0.156
0.8,0.158
0.8,0.16
0.8,0.162
0.8,0.164
0.8,0.166
0.8,0.168
0.8,0.17
0.8,0.17200000000000001
0.8,0.17400000000000002
0.8,0.176
0.8,0.178
0.8,0.18
0.8,0.182
0.8,0.184
0.8,0.186
0.8,0.188
0.8,0.19
0.8,0.192
0.8,0.194
0.8,0.196
0.8,0.198
0.8,0.2
0.8,0.202
0.8,0.20400000000000001
0.8,0.20600000000000002
0.8,0.20800000000000002
0.8,0.21
0.8,0.212
0.8,0.214
0.8,0.216
0.8,0.218
0.8,0.22
0.8,0.222
0.8,0.224
0.8,0.226
0.8,0.228
0.8,0.23
0.8,0.232
0.8,0.234
0.8,0.23600000000000002
0.8,0.23800000000000002
0.8,0.24
0.8,0.242
0.8,0.244
0.8,0.246
0.8,0.248
0.8,0.25
0.75,0.252
0.75,0.254
0.75,0.256
0.75,0.258
0.75,0.26
0.75,0.262
0.75,0.264
0.75,0.266
0.75,0.268
0.75,0.27
0.75,0.272
0.75,0.274
0.75,0.276
0.75,0.278
0.75,0.28
0.6666666666666666,0.28200000000000003
0.6666666666666666,0.28400000000000003
0.6666666666666666,0.28600000000000003
0.6666666666666666,0.28800000000000003
0.6666666666666666,0.29
0.6666666666666666,0.292
0.6666666666666666,0.294
0.6666666666666666,0.296
0.6666666666666666,0.298
0.6666666666666666,0.3
0.6666666666666666,0.302
0.6666666666666666,0.304
0.6666666666666666,0.306
0.6666666666666666,0.308
0.6666666666666666,0.31
0.6666666666666666,0.312
0.5652173913043478,0.314
0.5652173913043478,0.316
0.5652173913043478,0.318
0.5652173913043478,0.32
0.5652173913043478,0.322
0.5652173913043478,0.324
0.5652173913043478,0.326
0.5652173913043478,0.328
0.5652173913043478,0.33
0.5652173913043478,0.332
0.5652173913043478,0.334
0.5652173913043478,0.336
0.5652173913043478,0.338
0.5652173913043478,0.34
0.5652173913043478,0.342
0.5652173913043478,0.34400000000000003
0.5652173913043478,0.34600000000000003
0.5652173913043478,0.34800000000000003
0.5652173913043478,0.35000000000000003
0.5652173913043478,0.352
0.5652173913043478,0.354
0.5652173913043478,0.356
0.5652173913043478,0.358
0.5652173913043478,0.36
0.5652173913043478,0.362
0.5652173913043478,0.364
0.5652173913043478,0.366
0.5652173913043478,0.368
0.5652173913043478,0.37
0.5652173913043478,0.372
0.5652173913043478,0.374
0.5652173913043478,0.376
0.5652173913043478,0.378
0.5652173913043478,0.38
0.5652173913043478,0.382
0.5652173913043478,0.384
0.5652173913043478,0.386
0.5652173913043478,0.388
0.5652173913043478,0.39
0.5652173913043478,0.392
0.5652173913043478,0.394
0.5652173913043478,0.396
0.5652173913043478,0.398
0.5652173913043478,0.4
0.5652173913043478,0.402
0.5652173913043478,0.404
0.5652173913043478,0.406
0.56,0.40800000000000003
0.56,0.41000000000000003
0.56,0.41200000000000003
0.56,0.41400000000000003
0.56,0.41600000000000004
0.56,0.418
0.56,0.42
0.56,0.422
0.56,0.424
0.56,0.426
0.56,0.428
0.56,0.43
0.56,0.432
0.56,0.434
0.56,0.436
0.5357142857142857,0.438
0.5357142857142857,0.44
0.5357142857142857,0.442
0.5357142857142857,0.444
0.5357142857142857,0.446
0.5357142857142857,0.448
0.5357142857142857,0.45
0.5357142857142857,0.452
0.5357142857142857,0.454
0.5357142857142857,0.456
0.5357142857142857,0.458
0.5357142857142857,0.46
0.5357142857142857,0.462
0.5357142857142857,0.464
0.5357142857142857,0.466
0.5357142857142857,0.468
0.43243243243243246,0.47000000000000003
0.43243243243243246,0.47200000000000003
0.43243243243243246,0.47400000000000003
0.43243243243243246,0.47600000000000003
0.43243243243243246,0.47800000000000004
0.43243243243243246,0.48
0.43243243243243246,0.482
0.43243243243243246,0.484
0.43243243243243246,0.486
0.43243243243243246,0.488
0.43243243243243246,0.49
0.43243243243243246,0.492
0.43243243243243246,0.494
0.43243243243243246,0.496
0.43243243243243246,0.498
0.43243243243243246,0.5
0.3333333333333333,0.502
0.3333333333333333,0.504
0.3333333333333333,0.506
0.3333333333333333,0.508
0.3333333333333333,0.51
0.3333333333333333,0.512
0.3333333333333333,0.514
0.3333333333333333,0.516
0.3333333333333333,0.518
0.3333333333333333,0.52
0.3333333333333333,0.522
0.3333333333333333,0.524
0.3333333333333333,0.526
0.3333333333333333,0.528
0.3333333333333333,0.53
0.2413793103448276,0.532
0.2413793103448276,0.534
0.2413793103448276,0.536
0.2413793103448276,0.538
0.2413793103448276,0.54
0.2413793103448276,0.542
0.2413793103448276,0.544
0.2413793103448276,0.546
0.2413793103448276,0.548
0.2413793103448276,0.55
0.2413793103448276,0.552
0.2413793103448276,0.554
0.2413793103448276,0.556
0.2413793103448276,0.558
0.2413793103448276,0.56
0.2413793103448276,0.562
0.2413793103448276,0.5640000000000001
0.2413793103448276,0.5660000000000001
0.2413793103448276,0.5680000000000001
0.2413793103448276,0.5700000000000001
0.2413793103448276,0.5720000000000001
0.2413793103448276,0.5740000000000001
0.2413793103448276,0.5760000000000001
0.2413793103448276,0.578
0.2413793103448276,0.58
0.2413793103448276,0.582
0.2413793103448276,0.584
0.2413793103448276,0.586
0.2413793103448276,0.588
0.2413793103448276,0.59
0.2413793103448276,0.592
0.2413793103448276,0.594
0.2413793103448276,0.596
0.2413793103448276,0.598
0.2413793103448276,0.6
0.2413793103448276,0.602
0.2413793103448276,0.604
0.2413793103448276,0.606
0.2413793103448276,0.608
0.2413793103448276,0.61
0.2413793103448276,0.612
0.2413793103448276,0.614
0.2413793103448276,0.616
0.2413793103448276,0.618
0.2413793103448276,0.62
0.2413793103448276,0.622
0.2413793103448276,0.624
0.2413793103448276,0.626
0.2413793103448276,0.628
0.2413793103448276,0.63
0.2413793103448276,0.632
0.2413793103448276,0.634
0.2413793103448276,0.636
0.2413793103448276,0.638
0.2413793103448276,0.64
0.2413793103448276,0.642
0.2413793103448276,0.644
0.2413793103448276,0.646
0.2413793103448276,0.648
0.2413793103448276,0.65
0.2413793103448276,0.652
0.2413793103448276,0.654
0.2413793103448276,0.656
0.21782178217821782,0.658
0.21782178217821782,0.66
0.21782178217821782,0.662
0.21782178217821782,0.664
0.21782178217821782,0.666
0.21782178217821782,0.668
0.21782178217821782,0.67
0.21782178217821782,0.672
0.21782178217821782,0.674
0.21782178217821782,0.676
0.21782178217821782,0.678
0.21782178217821782,0.68
0.21782178217821782,0.682
0.21782178217821782,0.684
0.21782178217821782,0.686
0.2072072072072072,0.6880000000000001
0.2072072072072072,0.6900000000000001
0.2072072072072072,0.6920000000000001
0.2072072072072072,0.6940000000000001
0.2072072072072072,0.6960000000000001
0.2072072072072072,0.6980000000000001
0.2072072072072072,0.7000000000000001
0.2072072072072072,0.7020000000000001
0.2072072072072072,0.704
0.2072072072072072,0.706
0.2072072072072072,0.708
0.2072072072072072,0.71
0.2072072072072072,0.712
0.2072072072072072,0.714
0.2072072072072072,0.716
0.2072072072072072,0.718
0.13953488372093023,0.72
0.13953488372093023,0.722
0.13953488372093023,0.724
0.13953488372093023,0.726
0.13953488372093023,0.728
0.13953488372093023,0.73
0.13953488372093023,0.732
0.13953488372093023,0.734
0.13953488372093023,0.736
0.13953488372093023,0.738
0.13953488372093023,0.74
0.13953488372093023,0.742
0.13953488372093023,0.744
0.13953488372093023,0.746
0.13953488372093023,0.748
0.13953488372093023,0.75
0.1072961373390558,0.752
0.1072961373390558,0.754
0.1072961373390558,0.756
0.1072961373390558,0.758
0.1072961373390558,0.76
0.1072961373390558,0.762
0.1072961373390558,0.764
0.1072961373390558,0.766
0.1072961373390558,0.768
0.1072961373390558,0.77
0.1072961373390558,0.772
0.1072961373390558,0.774
0.1072961373390558,0.776
0.1072961373390558,0.778
0.1072961373390558,0.78
0.1,0.782
0.1,0.784
0.1,0.786
0.1,0.788
0.1,0.79
0.1,0.792
0.1,0.794
0.1,0.796
0.1,0.798
0.1,0.8
0.1,0.802
0.1,0.804
0.1,0.806
0.1,0.808
0.1,0.81
0.1,0.812
0.08653846153846154,0.8140000000000001
0.08653846153846154,0.8160000000000001
0.08653846153846154,0.8180000000000001
0.08653846153846154,0.8200000000000001
0.08653846153846154,0.8220000000000001
0.08653846153846154,0.8240000000000001
0.08653846153846154,0.8260000000000001
0.08653846153846154,0.8280000000000001
0.08653846153846154,0.8300000000000001
0.08653846153846154,0.8320000000000001
0.08653846153846154,0.834
0.08653846153846154,0.836
0.08653846153846154,0.838
0.08653846153846154,0.84
0.08653846153846154,0.842
0.04597701149425287,0.844
0.04597701149425287,0.846
0.04597701149425287,0.848
0.04597701149425287,0.85
0.04597701149425287,0.852
0.04597701149425287,0.854
0.04597701149425287,0.856
0.04597701149425287,0.858
0.04597701149425287,0.86
0.04597701149425287,0.862
0.04597701149425287,0.864
0.04597701149425287,0.866
0.04597701149425287,0.868
0.04597701149425287,0.87
0.04597701149425287,0.872
0.04597701149425287,0.874
0.04354354354354354,0.876
0.04354354354354354,0.878
0.04354354354354354,0.88
0.04354354354354354,0.882
0.04354354354354354,0.884
0.04354354354354354,0.886
0.04354354354354354,0.888
0.04354354354354354,0.89
0.04354354354354354,0.892
0.04354354354354354,0.894
0.04354354354354354,0.896
0.04354354354354354,0.898
0.04354354354354354,0.9
0.04354354354354354,0.902
0.04354354354354354,0.904
0.04354354354354354,0.906
0.034403669724770644,0.908
0.034403669724770644,0.91
0.034403669724770644,0.912
0.034403669724770644,0.914
0.034403669724770644,0.916
0.034403669724770644,0.918
0.034403669724770644,0.92
0.034403669724770644,0.922
0.034403669724770644,0.924
0.034403669724770644,0.926
0.034403669724770644,0.928
0.034403669724770644,0.93
0.034403669724770644,0.932
0.034403669724770644,0.934
0.034403669724770644,0.936
0.027629233511586453,0.9380000000000001
0.027629233511586453,0.9400000000000001
0.027629233511586453,0.9420000000000001
0.027629233511586453,0.9440000000000001
0.027629233511586453,0.9460000000000001
0.027629233511586453,0.9480000000000001
0.027629233511586453,0.9500000000000001
0.027629233511586453,0.9520000000000001
0.027629233511586453,0.9540000000000001
0.027629233511586453,0.9560000000000001
0.027629233511586453,0.9580000000000001
0.027629233511586453,0.96
0.027629233511586453,0.962
0.027629233511586453,0.964
0.027629233511586453,0.966
0.027629233511586453,0.968
0.011560693641618497,0.97
0.011560693641618497,0.972
0.011560693641618497,0.974
0.011560693641618497,0.976
0.011560693641618497,0.978
0.011560693641618497,0.98
0.011560693641618497,0.982
0.011560693641618497,0.984
0.011560693641618497,0.986
0.011560693641618497,0.988
0.011560693641618497,0.99
0.011560693641618497,0.992
0.011560693641618497,0.994
0.011560693641618497,0.996
0.011560693641618497,0.998
0.011560693641618497,1.0
